die Zeit	the time
die Platform	the platform
die Finanzen	the finance
die Freude	the joy
der wert	the worth
der Sänger	the singer
das Shooting	the shooting
die Offensive	the offense
der Zähler	the counter
die DNA	the DNA
der Geruch	the smell
die Übertragung	the transfer
der Protest	the protest
der Absturz	the crash
das Handwerk	the craft
der Vertrag	the treaty
der Terrorist	the terrorist
die Einsicht	the insight
die Lüge	the lie
die Folge	the episode
die Mischung	the mix
der Angriff	the assault
die Treppen	the stair
das Abenteuer	the adventure
der Beweis	the proof
das Hauptquartier	the headquarters
die Verletzung	the violation
die Zunge	the tongue
die Lizenz	the license
der Halt	the hold
die Zuflucht	the shelter
die Kontroverse	the controversy
der Eingang	the entrance
der Favorit	the favorite
die Tragödie	the tragedy
das Netz	the net
die Beerdigung	the funeral
der Beruf	the profession
die Einrichtung	the establishment
die Vorstellung	the imagination
die Maske	the mask
die Präsentation	the presentation
die Einleitung	the introduction
die Repräsentation	the representation
das Reh	the deer
die Partnerschaft	the partnership
die Verschmutzung	the pollution
die Emissions	the emission
das Schicksal	the fate
der Ofen	the oven
die Unterscheidung	the distinction
das Segment	the segment
der Poet	the poet
die Variation	the variation
der Komfort	the comfort
der Honig	the honey
der Korrespondent	the correspondent
der Musiker	the musician
die Signifikanz	the significance
die Ladung	the load
das Schiff	the vessel
der Speicher	the storage
das Leder	the leather
die Evolution	the evolution
der Stamm	the tribe
das Regal	the shelf
die Dose	the can
der Großvater	the grandfather
der Rasen	the lawn
der Käufer	the buyer
die Speise	the dining
die Weisheit	the wisdom
der Rat	the council
die Instanz	the instance
der Knoblauch	the garlic
die Fähigkeit	the capability
die Poesie	the poetry
der Prominente	the celebrity
die Stabilität	the stability
die Fantasie	the fantasy
die Handlung	the plot
der Rahmen	the framework
die Geste	the gesture
die Psychologie	the psychology
der Ratgeber	the counselor
das Kapitel	the chapter
der Gefährte	the fellow
die Scheidung	the divorce
das Rohr	the pipe
die Mathematik	the math
die Schattierung	the shade
der Schweif	the tail
die Verpflichtung	the obligation
der Winkel	the angle
die Palme	the palm
der Brauch	the custom
der Ökonom	the economist
die Suppe	the soup
die Feier	the celebration
die Zusammensetzung	the composition
der Stapel	the pile
der Kohlenstoff	the carbon
die Regelung	the scheme
der Riss	the crack
die Frequenz	the frequency
der Tabak	the tobacco
der Überlebende	the survivor
der Psychologe	the psychologist
die Galaxie	the galaxy
der Ski	the ski
die Begrenzung	the limitation
der Termin	the appointment
die Präferenz	the preference
der Meter	the meter
die Explosion	the explosion
die Festnahme	the arrest
der Kämpfer	the fighter
der Eintritt	the admission
der Jäger	the hunter
die Freundschaft	the friendship
der Adjutant	the aide
die Veranda	the porch
die Tendenz	the tendency
die Uniform	the uniform
die Formation	the formation
das Stipendium	the scholarship
die Reservierung	the reservation
die Effizienz	the efficiency
das Einkaufszentrum	the mall
der Skandal	the scandal
der PC	the PC
die Ferse	the heel
die Privatsphäre	the privacy
das Gewebe	the fabric
der Anteil	the proportion
die Leitlinie	the guideline
das Gewehr	the rifle
die Wartung	the maintenance
der Trick	the trick
das Zelt	the tent
die Untersuchung	the examination
der Herausgeber	the publisher
die Franzosen	the French
der Mythos	the myth
die Kuh	the cow
der Stand	the standing
das Tennis	the tennis
der Nerv	the nerve
das Fass	the barrel
das Bombardement	the bombing
die Mitgliedschaft	the membership
das Verhältnis	the ratio
das Menü	the menu
der Kauf	the purchase
der Lifestyle	the lifestyle
der Humor	the humor
der Handschuh	the glove
der Verdächtige	the suspect
die Erzählung	the narrative
der Fotograf	the photographer
der Hubschrauber	the helicopter
die katholische	the Catholic
der Provider	the provider
die Verzögerung	the delay
der Hub	the stroke
der Anwendungsbereich	the scope
die Bestrafung	the punishment
die Handvoll	the handful
der Horizont	the horizon
die Freundin	the girlfriend
das Cholesterin	the cholesterol
die Angleichung	the adjustment
die Steuerzahler	the taxpayer
der Rektor	the principal
die Motivation	the motivation
die Zuordnung	the assignment
die Beschränkung	the restriction
die palästinensische	the Palestinian
das Labor	the laboratory
der Workshop	the workshop
das Auto	the auto
die Baumwolle	the cotton
der Motor	the motor
der Geschmack	the flavor
die Sequenz	the sequence
die Demonstration	the demonstration
der Jet	the jet
der Verbrauch	the consumption
die Klinge	the blade
das Medikament	the medication
die Kajüte	the cabin
die Ausgabe	the edition
das Tal	the valley
die Tonhöhe	the pitch
der Kiefer	the pine
die Herstellungs	the manufacturing
der Christian	the Christian
der Komplex	the complex
der Küchenchef	the chef
die Diskriminierung	the discrimination
das deutsch	the German
der Boom	the boom
das Erbe	the heritage
der Gott	the God
die Scheiße	the shit
die Zitrone	the lemon
die Wirtschaft	the economics
die Nuss	the nut
das Vermächtnis	the legacy
die Erweiterung	the extension
die Fliege	the fly
die Batterie	the battery
die Ankunft	the arrival
die Ausrichtung	the orientation
die Inflation	the inflation
die Flamme	the flame
der Cluster	the cluster
die Wunde	the wound
die Dusche	the shower
das Betriebs	the operating
das Fleisch	the flesh
die Garage	the garage
der Betreiber	the operator
der Lehrer	the instructor
die Komödie	the comedy
die Hypothek	the mortgage
das Habitat	the habitat
das Getreide	the grain
das Bewußtsein	the consciousness
die Messung	the measurement
die Provinz	the province
die Ethik	the ethics
die Nominierung	the nomination
die Erlaubnis	the permission
die Schauspielerin	the actress
der Gipfel	the summit
die Säure	the acid
die Chancen	the odds
die Frustration	the frustration
das Medium	the medium
der Zuschuss	the grant
die Küste	the shore
die Lunge	the lung
der Diskurs	the discourse
der Korb	the basket
der Wettbewerber	the competitor
das Pulver	the powder
das Gespenst	the ghost
der Keks	the cookie
die Karriere	the carrier
das Kochen	the cooking
die Schaukel	the swing
die Orange	the orange
das Haustier	the pet
das Wunder	the miracle
der Rhythmus	the rhythm
das Töten	the killing
die Sünde	the sin
die Wohlfahrt	the charity
das Skript	the script
die Taktik	the tactic
die Identifikation	the identification
die Transformation	the transformation
die Schlagzeile	the headline
die Venture	the venture
die Invasion	the invasion
das Militär	the military
das Klavier	the piano
das Lebensmittelgeschäft	the grocery
die Intensität	the intensity
die Decke	the blanket
der Abstand	the margin
der Quarterback	the quarterback
die Maus	the mouse
das Seil	the rope
das Rezept	the prescription
der Ziegelstein	the brick
der Patch	the patch
der Konsens	the consensus
der Horror	the horror
die Aufnahme	the recording
der Maler	the painter
der Kuchen	the pie
das Wohl	the sake
der Blick	the gaze
der Mut	the courage
die Schwangerschaft	the pregnancy
der Hinweis	the clue
der Sieg	the win
die Verwirrung	the confusion
die Scheibe	the slice
die Tätigkeit	the occupation
die Kohle	the coal
der Kriminelle	the criminal
die Formel	the formula
der Onkel	the uncle
das Quadrat	the square
der Kapitän	the captain
die Gallerie	the gallery
der Verteidiger	the defendant
der Tunnel	the tunnel
die Fitness	the fitness
die Runde	the lap
das Grab	the grave
die Zehe	the toe
der Kontainer	the container
die Tugend	the virtue
der Architekt	the architect
das Make-Up	the makeup
die Anfrage	the inquiry
die Rose	the rose
die Angabe	the indication
die Schiene	the rail
der Jahrestag	the anniversary
die Couch	the couch
die Allianz	the alliance
die Hypothese	the hypothesis
der Freund	the boyfriend
die Unordnung	the mess
die Legende	the legend
der jugendliche	the adolescent
die Norm	the norm
die Bemerkung	the remark
die Belohnung	the reward
das Organ	the organ
das Lachen	the laughter
der Nordwesten	the northwest
die Beratung	the counseling
der Empfänger	the receiver
das Ritual	the ritual
das Insekt	the insect
der Lachs	the salmon
der Gefallen	the favor
das Handels	the trading
der Stamm	the stem
der Chirurg	the surgeon
die Physik	the physics
die Vergewaltigung	the rape
der Rat	the counsel
die Bürste	the brush
die Jeans	the jeans
das Protokoll	the log
die Pille	the pill
die Skulptur	the sculpture
die Verbindung	the compound
das Mehl	the flour
die Piste	the slope
die Präsidentschaft	the presidency
die Portion	the serving
der Bischof	the bishop
das trinken	the drinking
der Schrei	the cry
die Akzeptanz	the acceptance
der Kollaps	the collapse
die Pumpe	the pump
die Süßigkeit	the candy
das Böse	the evil
das endgültige	the final
die Medaille	the medal
die Ausfuhr	the export
die Mitternacht	the midnight
die Kurve	the curve
die Integrität	the integrity
die Logik	the logic
die Essenz	the essence
der Schrank	the closet
der Innenraum	the interior
der Korridor	the corridor
der Krug	the pitcher
die Schlange	the snake
das Kreuz	the cross
die Schwäche	the weakness
das Schwein	the pig
die Kälte	the cold
das T-Shirt	the T-shirt
die Arbeitslosigkeit	the unemployment
die Zivilisation	the civilization
der Pop	the pop
die Korrelation	the correlation
die Menschlichkeit	the humanity
der Entwickler	the developer
die Aufregung	the excitement
der Islam	the Islam
die Strecke	the stretch
die Architektur	the architecture
der Ellbogen	the elbow
der Muslim	the Muslim
die Ente	the duck
die Dosis	the dose
der Vortrag	the lecture
der Van	the van
die Bucht	the bay
die Vorstadt	the suburb
das Sandwich	the sandwich
der Kofferraum	the trunk
das Gerücht	the rumor
die Umsetzung	the implementation
die Kleidung	the cloth
die Wirksamkeit	the effectiveness
die Linse	the lens
die Reichweite	the reach
der Inspektor	the inspector
der Betrug	the fraud
der Begleiter	the companion
der Nagel	the nail
das Array	the array
die Ratte	the rat
der Flur	the hallway
die Höhle	the cave
der Südwesten	the southwest
das Monster	the monster
das Hindernis	the obstacle
die Begegnung	the encounter
das Kraut	the herb
die Integration	the integration
der Kristall	the crystal
die Rezession	the recession
der Wunsch	the wish
das Motiv	the motive
das Hochwasser	the flood
der Stift	the pen
das eigentum	the ownership
der Albtraum	the nightmare
die Bekanntmachung	the notice
die Inspektion	the inspection
der Vorgesetzte	the supervisor
die Arena	the arena
das Lachen	the laugh
die Diagnose	the diagnosis
der Besitz	the possession
der Keller	the basement
die Staatsanwaltschaft	the prosecution
die Ankündigung	the announcement
der Krieger	the warrior
die Vorhersage	the prediction
die Bakterien	the bacteria
der Fragebogen	the questionnaire
der Schlamm	the mud
die Infrastruktur	the infrastructure
das Privileg	the privilege
der Tempel	the temple
die Sendung	the broadcast
das Handgelenk	the wrist
der Vorhang	the curtain
der Monitor	the monitor
der Teich	the pond
die Domain	the domain
die Schuld	the guilt
das Vieh	the cattle
der gehende	the walking
die Playoff	the playoff
der Rock	the skirt
die Datenbank	the database
die Schenkel	the limb
die Ideologie	the ideology
der Schaden	the harm
die Eisenbahn	the railroad
die Strahlung	the radiation
das Horn	the horn
die Innovation	the innovation
die Gitarre	the guitar
der Ersatz	the replacement
der Tänzer	the dancer
die Änderung	the amendment
das Polster	the pad
die Übertragung	the transmission
die Gnade	the grace
die Kolonie	the colony
die Adoption	the adoption
die Rutsche	the slide
die zivile	the civilian
das Handtuch	the towel
die Partikel	the particle
der Blick	the glance
der Preis	the prize
die Landung	the landing
das Verhalten	the conduct
das Blaue	the blue
die Fledermaus	the bat
der Alarm	the alarm
das Fest	the festival
der Griff	the grip
der Neuling	the freshman
der Schweiß	the sweat
das Europäische	the European
die Trennung	the separation
der Südosten	the southeast
die Abstimmung	the ballot
die Rhetorik	the rhetoric
das Vitamin	the vitamin
die Begeisterung	the enthusiasm
die Wildnis	the wilderness
das Mandat	the mandate
die Pause	the pause
die Entschuldigung	the excuse
die Unsicherheit	the uncertainty
das Chaos	the chaos
die Leinwand	the canvas
die Lobby	the lobby
das Format	the format
die Währung	the currency
der Truthahn	the turkey
die Reserve	the reserve
der Strahl	the beam
der Astronom	the astronomer
die Korruption	the corruption
der Dienstleister	the contractor
die Lehre	the doctrine
der Daumen	the thumb
die Einheit	the unity
der Kompromiss	the compromise
der Ansturm	the rush
die Komplexität	the complexity
die Gabel	the fork
die Scheibe	the disk
der Verdacht	the suspicion
das Schloss	the lock
das Ende	the finish
die Residenz	the residence
die Schande	the shame
der Bürgersteig	the sidewalk
die Olympischen Spiele	the Olympics
die Unterschrift	the signature
der Rebell	the rebel
der Ehegatte	the spouse
die Flüssigkeit	the fluid
die Rente	the pension
das Natrium	the sodium
der Schlag	the blow
die Stirn	the forehead
der Haken	the hook
der Detektiv	the detective
der Reisende	the traveler
die Entschädigung	the compensation
der Ausgang	the exit
die Attraktion	the attraction
der Ladewagen	the pickup
die Nadel	the needle
der Bauch	the belly
das Portfolio	the portfolio
das Shuttle	the shuttle
das Timing	the timing
die Verlobung	the engagement
der Knöchel	the ankle
die Transaktion	the transaction
das Gegenstück	the counterpart
der Fahrer	the rider
die Puppe	the doll
der Mittag	the noon
die Ausstellung	the exhibit
das Kohlenhydrat	the carbohydrate
die Freiheit	the liberty
das Poster	the poster
die Theologie	the theology
der Sauerstoff	the oxygen
die Magie	the magic
die Summe	the sum
unter der Voraussetzung	provided
der Geschäftsmann	the businessman
die Entschlossenheit	the determination
der Spender	the donor
der Pfarrer	the pastor
der Jazz	the jazz
die Oper	the opera
die Japaner	the Japanese
der Biss	the bite
der Erwerb	the acquisition
die Grube	the pit
das wilde Leben	the wildlife
der Riese	the giant
der primäre	the primary
das Eigenkapital	the equity
die Tür	the doorway
die Abfahrt	the departure
der Aufzug	the elevator
die Fröhlichkeit	the happiness
die Statue	the statue
die Verfolgung	the pursuit
die Reparatur	the repair
das Fitnesscenter	the gym
der Angestellte	the clerk
die israelische	the Israeli
der Briefumschlag	the envelope
die Meldung	the reporting
die Faust	the fist
die Erforschung	the exploration
das Bad	the bath
die Rettung	the rescue
der Indikator	the indicator
das Sonnenlicht	the sunlight
die Rückmeldung	the feedback
das Spektrum	the spectrum
der Laser	the laser
das Know-how	the expertise
die Melodie	the tune
das Essen	the eating
der Hinweis	the hint
die Parade	the parade
das Reich	the realm
das Verbot	the ban
der Therapeut	the therapist
die Pizza	the pizza
der Empfänger	the recipient
die Buchhaltung	the accounting
die Bias	the bias
die Metapher	the metaphor
die Kerze	the candle
der Griff	the handle
die Sorge	the worry
das Leiden	the suffering
die Lampe	the lamp
der Müll	the garbage
der Diener	the servant
die Zugabe	the addition
das Innere	the inside
die Rezeption	the reception
das Kinn	the chin
die Notwendigkeit	the necessity
der Rassismus	the racism
der Beginner	the starter
das Banken	the banking
die Schwerkraft	the gravity
die Prävention	the prevention
die arabischen	the Arab
der Darsteller	the performer
das Inventar	the inventory
die Versammlung	the assembly
die Seide	the silk
die Größenordnung	the magnitude
die Geisel	the hostage
der Sammler	the collector
die Beliebtheit	the popularity
der Kuss	the kiss
das Alien	the alien
die gleichung	the equation
der Engel	the angel
der Schalter	the switch
das Angebot	the offering
die Wut	the rage
die Fotografie	the photography
die Toilette	the toilet
der Russe	the Russian
die wake	the wake
die Versammlung	the gathering
das Automobil	the automobile
die Morgendämmerung	the dawn
die Gezeiten	the tide
die Romanze	the romance
die Hardware	the hardware
das Kissen	the pillow
der Koch	the cook
die Verbreitung	the spread
der Kontinent	the continent
die Rennbahn	the circuit
das Waschbecken	the sink
die Regelung	the ruling
der Mangel	the shortage
die Falle	the trap
der Dummkopf	the fool
die Deadline	the deadline
das Verarbeiten	the processing
die Ranch	the ranch
der Diamant	the diamond
die Glaubwürdigkeit	the credibility
der Import	the import
die Stimmung	the sentiment
der Wagen	the cart
die Ältesten	the elder
die pro	the pro
die Inspiration	the inspiration
die Quantität	the quantity
der Trailer	the trailer
der Steuermann	the mate
das Genie	the genius
das Monument	the monument
das Streben	the quest
das Opfer	the sacrifice
die Einladung	the invitation
die Genauigkeit	the accuracy
der Juror	the juror
der Broker	the broker
der Schatz	the treasure
die Loyalität	the loyalty
das Benzin	the gasoline
die Ausgabe	the output
der Kandidat	the nominee
der Diabetes	the diabetes
der Kiefer	the jaw
die Trauer	the grief
die Rakete	the rocket
der Insasse	the inmate
die Dynamik	the dynamics
der Bogen	the bow
der Senior	the senior
die Würde	the dignity
der Teppich	the carpet
die Blase	the bubble
der Kumpel	the buddy
die Scheune	the barn
das Schwert	the sword
der Blitz	the flash
die Herrlichkeit	the glory
die Trommel	the drum
die Königin	the queen
das Dilemma	the dilemma
die Eingabe	the input
der Nordosten	the northeast
die Haftung	the liability
der Händler	the merchant
das Stadium	the stadium
die Niederlage	the defeat
der Rückzug	the withdrawal
der Kühlschrank	the refrigerator
das Nest	the nest
die Spur	the lane
der Dampf	the steam
der Akzent	the accent
die Flucht	the escape
der Käfig	the cage
die Krabbe	the shrimp
das Heimatland	the homeland
das Regal	the rack
das Kostüm	the costume
der Wolf	the wolf
das Statut	the statute
der Cartoon	the cartoon
die Produktivität	the productivity
die Dichtung	the seal
die Tante	the aunt
die Landwirtschaft	the agriculture
der Konkurs	the bankruptcy
der Impfstoff	the vaccine
der Bonus	the bonus
die Zusammenarbeit	the collaboration
die Umlaufbahn	the orbit
die Geduld	the patience
die Abstimmung	the voting
die Patrouille	the patrol
die Bereitschaft	the willingness
die Offenbarung	the revelation
die Miete	the rent
der Schmuck	the jewelry
die Spur	the trace
der Wagen	the wagon
die Verlässlichkeit	the reliability
der Esel	the ass
der Busch	the bush
der Clip	the clip
die Hüfte	the thigh
der Stier	the bull
die Schublade	the drawer
das Schaf	the sheep
der Koordinator	the coordinator
der Läufer	the runner
das Reich	the empire
das Taxi	the cab
die Dokumentation	the documentary
die Biologie	the biology
das Netz	the web
die Verschwörung	the conspiracy
der Fang	the catch
der Unfall	the casualty
die Republik	the republic
die Hinrichtung	the execution
der Wal	the whale
der Instinkt	the instinct
der Mitspieler	the teammate
das Aluminium	the aluminum
das Ministerium	the ministry
das Urteil	the verdict
der Schädel	the skull
das Selbstwertgefühl	the self-esteem
die Leichtigkeit	the ease
die Biene	the bee
der Praktiker	the practitioner
die Schleife	the loop
das Puzzle	the puzzle
der Pilz	the mushroom
die Subvention	the subsidy
die Mathematik	the mathematics
der Mechaniker	the mechanic
das Gefäss	the jar
das Erdbeben	the earthquake
das Schweinefleisch	the pork
die Kreativität	the creativity
das Dessert	the dessert
die Sympathie	the sympathy
der Fischer	the fisherman
die Isolierung	the isolation
die Socke	the sock
der Sprung	the jump
der Unternehmer	the entrepreneur
das Syndrom	the syndrome
das Büro	the bureau
der Arbeitsplatz	the workplace
der Ehrgeiz	the ambition
die Landung	the touchdown
die Brise	the breeze
das Christentum	the Christianity
die Übersetzung	the translation
die Eingeweide	the gut
die Kabine	the booth
der Helm	the helmet
die Taille	the waist
der Löwe	the lion
die Vollendung	the accomplishment
die Panik	the panic
die Besetzung	the cast
die Klippe	the cliff
die Schnur	the cord
das Kokain	the cocaine
die Illusion	the illusion
die Aufwertung	the appreciation
der Kommissar	the commissioner
die Flexibilität	the flexibility
das Casino	the casino
der Tumor	the tumor
der Puls	the pulse
das Äquivalent	the equivalent
die Spende	the donation
das Tagebuch	the diary
das Geschwister	the sibling
die Ironie	the irony
der Löffel	the spoon
die Mitte	the midst
die Gasse	the alley
die Seife	the soap
der Rivale	the rival
der Stecker	the pin
das Hockey	the hockey
der Zulieferer	the supplier
das Momentum	the momentum
der Geldbeutel	the purse
die Flüssigkeit	the liquid
das Symbol	the icon
der Elefant	the elephant
der Gesetzgeber	the legislature
die Gesellschafter	the associate
das Franchise	the franchise
das Fahrrad	the bicycle
das Fieber	the fever
der Filter	the filter
das Kaninchen	the rabbit
die Münze	the coin
der Organismus	the organism
die Sensation	the sensation
der Aufenthalt	the stay
das Minimum	the minimum
die Erhaltung	the conservation
der Hinterhof	the backyard
die Charta	the charter
der Herd	the stove
die Zustimmung	the consent
die Erinnerung	the reminder
die Platzierung	the placement
der Teig	the dough
der Enkel	the grandchild
der Damm	the dam
das Outfit	the outfit
der Kolumnist	the columnist
das Training	the workout
das Patent	the patent
das Zitat	the quote
das Hormon	the hormone
die Textur	the texture
der Bleistift	the pencil
der Frontmann	the frontier
das Spray	the spray
die Wette	the bet
die Verwahrung	the custody
der Banker	the banker
das Biest	the beast
die Eiche	the oak
das Notebook	the notebook
die Anwesenheit	the attendance
die Spekulation	the speculation
der Hai	the shark
die Mühle	the mill
die Installation	the installation
der Tag	the tag
das Schwimmen	the swimming
die Flotte	the fleet
der Katalog	the catalog
der Aussenseiter	the outsider
die Haltung	the stance
die Empfindlichkeit	the sensitivity
das Debüt	the debut
die Konfrontation	the confrontation
das Ideal	the ideal
die Verfassung	the constitution
der Trainer	the trainer
die Danksagung	the Thanksgiving
der Duft	the scent
der Stapel	the stack
die Augenbraue	the eyebrow
der Sack	the sack
die Schale	the tray
der Pionier	the pioneer
das Textbuch	the textbook
der Punkt	the dot
das Weizen	the wheat
das Königreich	the kingdom
der Gang	the aisle
das Protokoll	the protocol
der Markt	the marketplace
das Gelände	the terrain
die Pasta	the pasta
das Genre	the genre
das Verdienst	the merit
der Planer	the planner
der Chunk	the chunk
der Rabatt	the discount
die Leiter	the ladder
der Dschungel	the jungle
die Migration	the migration
die Atmung	the breathing
der Hurricane	the hurricane
der Einzelhändler	the retailer
der Coup	the coup
der Botschafter	the ambassador
die Dichte	the density
die Neugier	the curiosity
die Aggression	the aggression
der Reiz	the stimulus
der Journalismus	the journalism
der Roboter	the robot
die Feder	the feather
die Sphäre	the sphere
die Werbung	the publicity
der Bürgermeister	the major
das Wohlergehen	the well-being
die Gültigkeit	the validity
das Ökosystem	the ecosystem
der Kragen	the collar
das Gras	the weed
die Einhaltung	the compliance
der Streifen	the streak
der Bauarbeiter	the builder
die Voraussetzung	the premise
die Spezialität	the specialty
das Artefakt	the artifact
der Affe	the monkey
der Mentor	the mentor
der Zuhörer	the listener
der Blitz	the lightning
der Ärmel	the sleeve
die Enttäuschung	the disappointment
die Rippe	the rib
die Trümmer	the debris
die Stange	the rod
die liberale	the liberal
die Asche	the ash
die Pfarrei	the parish
die Sklaverei	the slavery
die Ware	the commodity
die Heilung	the cure
das Mineral	the mineral
der Hunger	the hunger
die Gleichheit	the equality
der Friedhof	the cemetery
die Belästigung	the harassment
die Berühmtheit	the fame
die Wahrscheinlichkeit	the likelihood
die Karotte	the carrot
die Maut	the toll
der Rand	the rim
der Rollstuhl	the wheelchair
der Prozessor	the processor
der Sponsor	the sponsor
das Grinsen	the grin
die Kälte	the chill
die Zuflucht	the refuge
der Gesetzgeber	the legislator
die Rallye	the rally
die Programmierung	the programming
der Abfluss	the outlet
der Verkäufer	the vendor
die Erdnuss	the peanut
der Intellektuelle	the intellectual
die Konzeption	the conception
die Auktion	the auction
das Steak	the steak
der Triumph	the triumph
der Aktionär	the shareholder
das Gewissen	the conscience
die Berechnung	the calculation
das Intervall	the interval
die Zuständigkeit	the jurisdiction
die Einschränkung	the constraint
die Expedition	the expedition
die Ähnlichkeit	the similarity
der Hintern	the butt
der Deckel	the lid
der Großteil	the bulk
die Sterblichkeit	the mortality
die Umwandlung	the conversion
der Patron	the patron
die Leber	the liver
die Harmonie	the harmony
die Toleranz	the tolerance
der Moment	the instant
die Ziege	the goat
der Segen	the blessing
die Banane	the banana
das Laufen	the running
der Palast	the palace
der Bauer	the peasant
der Supermarkt	the supermarket
die Kreuzfahrt	the cruise
die Ebene	the plain
der Kalender	the calendar
die Witwe	the widow
die Anzahlung	the deposit
der Bart	the beard
die Bremse	the brake
das Screening	the screening
der Impuls	the impulse
das Fell	the fur
der Räuber	the predator
das Forum	the forum
das Tanzen	the dancing
die Beseitigung	the removal
die Autonomie	the autonomy
der Faden	the thread
das Wahrzeichen	the landmark
der Täter	the offender
der Tourismus	the tourism
der Grenzbereich	the threshold
die Suite	the suite
der Regler	the regulator
der Strohhalm	the straw
der Globus	the globe
der Einwand	the objection
die Chemie	the chemistry
die Explosion	the blast
die Verweigerung	the denial
die Miete	the rental
das Fragment	the fragment
die Wärme	the warmth
die Bachelor	the undergraduate
die Kopfschmerzen	the headache
der Polizist	the policeman
die Ausbeute	the yield
der Vorsprung	the projection
die Erwähnung	the mention
der Schulabschluss	the graduation
die Villa	the mansion
der Bezug	the regard
die Traube	the grape
die Hütte	the cottage
die Auffahrt	the driveway
der Charm	the charm
die Sexualität	the sexuality
der Ton	the clay
der Ballon	the balloon
die Erfindung	the invention
das Ego	the ego
der Fahrpreis	the fare
die Hausaufgabe	the homework
das Sofa	the sofa
die Garantie	the guarantee
die Verfügbarkeit	the availability
das Radar	the radar
das Verlassen	the leave
die Genehmigung	the permit
der Pullover	the sweater
die Rehabilitation	the rehabilitation
der Rückzug	the retreat
das Molekül	the molecule
der Youngster	the youngster
das Bessere	the premium
die Rechenschaftspflicht	the accountability
die Müdigkeit	the fatigue
der Marker	the marker
der Eimer	the bucket
das Geständnis	the confession
der Marmor	the marble
die Verwindung	the twist
der Verteidiger	the defender
der Transport	the transport
die Überwachung	the surveillance
der Techniker	the technician
der Pfeil	the arrow
das Trauma	the trauma
das Farbband	the ribbon
die Zwischenzeit	the meantime
die Ernte	the harvest
der Spion	the spy
der Schlitz	the slot
der Aufstand	the riot
der Nährstoff	the nutrient
die Staatsbürgerschaft	the citizenship
die Souveränität	the sovereignty
der Grat	the ridge
die Beleuchtung	the lighting
der Beiträger	the contributor
der Transit	the transit
das Seminar	the seminar
die Elektronik	the electronics
die Shorts	the shorts
der Vorwurf	the accusation
der Cue	the cue
die Braut	the bride
die Biographie	the biography
die Gefahr	the hazard
die Fliese	the tile
der Ausländer	the foreigner
der Start	the launch
die Annehmlichkeit	the convenience
das Holz	the timber
der Klagegrund	the plea
die Glühbirne	the bulb
der Teufel	the devil
die Fracht	the cargo
die Wirbelsäule	the spine
der Verkäufer	the seller
das Dock	the dock
der Nebel	the fog
der Diplomat	the diplomat
die Zusammenfassung	the summary
der Missionar	the missionary
die Epidemie	the epidemic
das Warenhaus	the warehouse
der Schmetterling	the butterfly
die Bronze	the bronze
das Lob	the praise
das Vakuum	the vacuum
das Klischee	the stereotype
der Sensor	the sensor
die Wäscherei	the laundry
das Handbuch	the manual
die Pistole	the pistol
der Kläger	the plaintiff
die Mittelklasse	the middle-class
die Entschuldigung	the apology
der Man	the man
das Ding	the thing
die Raum	the room
die Ehefrau	the wife
das Los	the lot
die Anzahl	the number
der Beutel	the bag
die Rast	the rest
die Mama	the mom
die Sir	the sir
der Brief	the letter
die Wohnung	the apartment
der Fels	the rock
die Kleider	the clothes
das Gedächtnis	the memory
die Reiß	the tear
der Schüler	the student
die Sehenswürdigkeit	the sight
der Erzähler	the narrator
der Offizier	the officer
der Wächter	the guard
die Bit	the bit
der Fehl	the miss
das College	the college
das Geräusch	the noise
die Mama	the mama
der Herr	the lord
der Papa	the daddy
der Platz	the spot
das Maximum	the maximum
die Gate	the gate
die Vorhalle	the porch
das Schwimmbecken	the pool
die Bob	the bob
der Club	the club
die Türöffnung	the doorway
die Hose	the pant
das Erlebnis	the experience
das Camp	the camp
der Strahl	the ray
die Volks	the folk
der Knopf	the button
das Level	the level
die Runden	the lap
das Magazin	the magazine
der Ast	the branch
das Auf Wiedersehen	the goodbye
das Park	the parking
das Gelächter	the laughter
der Verfasser	the writer
die Gardine	the curtain
das Rudel	the pack
die Lilie	the lily
die Lauf	the run
das Weinen	the cry
die Instant	the instant
das Publikum	the audience
die Jahreszeit	the season
der Klient	the client
der Prinz	the prince
die Emotion	the emotion
der Grad	the degree
das Begräbnis	the funeral
der Oberschenkel	the thigh
der Buck	the buck
die Ziegel	the brick
die Hülse	the sleeve
der Speisesaal	the dining
der Drache	the dragon
der Umschlag	the envelope
die Erwachsene	the adult
das Kopfnicken	the nod
die Robe	the robe
der Stil	the style
die Kreis	the county
der Schrei	the scream
die Bitch	the bitch
der Seufzer	the sigh
der Messestand	the booth
das TShirt	the tshirt
das Flüstern	the whisper
die Hank	the hank
das Glied	the limb
der Bastard	the bastard
das Rotkehlchen	the robin
die Justiz	the justice
der Sekretär	the secretary
der Sheriff	the sheriff
die Mitternachts	the midnight
die Kiefer	the pine
die Papa	the papa
die Perle	the pearl
die Prinzessin	the princess
das Getriebe	the gear
der Koffer	the suitcase
das Atem	the breathing
der Gefangene	the prisoner
die Burg	the castle
die Fahrspur	the lane
der Hase	the rabbit
der Bereich	the range
die Dick	the dick
die Reflexion	the reflection
die Baseball	the baseball
der Schrecken	the terror
die Buster	the buster
der Wachtmeister	the sergeant
die Bedrohung	the threat
das Messgerät	the meter
der Umstand	the circumstance
