sein	be
die Datei	the file
krank	sick
das Ergebnis	the outcome
die Anzeige	the ad
verteidigen	defend
Angelegenheit	matter
Richter	judge
die Pflicht	the duty
das Blatt	the sheet
sollen	ought
dafür sorgen	ensure
katholisch	Catholic
äußerst	extremely
das Ausmaß	the extent
die Komponente	the component
mischen	mix
langfristig	long-term
langsam	slow
der Kontrast	the contrast
die Zone	the zone
aufwachen	wake
Herausforderung	challenge
der Flughafen	the airport
der Chef	the chief
braun	brown
standard	standard
das Hemd	the shirt
der Pilot	the pilot
warnen	warn
letzten Endes	ultimately
die Katze	the cat
der Beitrag	the contribution
die Kapazität	the capacity
uns selbst	ourselves
das Anwesen	the estate
der Führer	the guide
der Schnee	the snow
Englisch	English
der Politiker	the politician
stehlen	steal
verfolgen	pursue
Unterhose	slip
der Prozentanteil	the percentage
das Fleisch	the meat
komisch	funny
weder	neither
die Erde	the soil
beeinflussen	influence
die Operation	the surgery
richtig	correct
jüdisch	Jewish
Schuld	blame
schätzen	estimate
fällig	due
der Basketball	the basketball
der Golf	the golf
untersuchen	investigate
verrückt	crazy
bedeutend	significantly
die Kette	the chain
die Adresse	the address
die Branche	the branch
die Kombination	the combination
häufig	frequently
der Gouverneur	the governor
das Relief	the relief
der Benutzer	the user
der Vater	the dad
kick	kick
Teil	part
die Methode	the manner
alt	ancient
die Stille	the silence
das Rating	the rating
golden	golden
Deutsche	German
das Geschlecht	the gender
lösen	solve
die Gebühr	the fee
die Landschaft	the landscape
benutzt	used
die Schale	the bowl
gleich	equal
offiziell	official
weiter	forth
der Rahmen	the frame
typisch	typical
außer	except
konservativ	conservative
beseitigen	eliminate
der Gastgeber	the host
die Halle	the hall
Vertrauen	trust
der Ozean	the ocean
Ergebnis	score
die Reihe	the row
der Produzent	the producer
sich leisten	afford
inzwischen	meanwhile
das Regime	the regime
der Unternehmensbereich	the division
bestätigen	confirm
Fix	fix
die Beschwerde	the appeal
der Spiegel	the mirror
der Zahn	the tooth
clever	smart
die Länge	the length
vollständig	entirely
verlassen	rely
beschweren	complain
Problem	issue
die Variable	the variable
Angebot	range
das Telefon	the telephone
die Wahrnehmung	the perception
anlocken	attract
das Vertrauen	the confidence
das Schlafzimmer	the bedroom
das Geheimnis	the secret
die Schuld	the debt
Selten	rare
der Panzer	the tank
die Krankenschwester	the nurse
die Abdeckung	the coverage
die Opposition	the opposition
beiseite	aside
irgendwo	anywhere
die Bindung	the bond
Datei	file
die Freude	the pleasure
der Meister	the master
die Ära	the era
die Anforderung	the requirement
die Prüfung	the check
der Stand	the stand
der Spaß	the fun
die Erwartung	the expectation
der Flügel	the wing
trennen	separate
gießen	pour
rühren	stir
das Urteil	the judgment
das Bier	the beer
das Englisch	the English
die Referenz	the reference
die Träne	the tear
der Zweifel	the doubt
gewähren	grant
ernst	seriously
Konto	account
der Minister	the minister
total	totally
der Held	the hero
industriell	industrial
die Wolke	the cloud
strecken	stretch
der Gewinner	the winner
die Lautstärke	the volume
der Samen	the seed
überrascht	surprised
sich ausruhen	rest
die Mode	the fashion
der Pfeffer	the pepper
beschäftigt	busy
die Intervention	the intervention
die Kopie	the copy
das Trinkgeld	the tip
billig	cheap
Ziel	aim
zitieren	cite
die Wohlfahrt	the welfare
das Gemüse	the vegetable
grau	gray
das Gericht	the dish
der Strand	the beach
die Verbesserung	the improvement
überall	everywhere
die Eröffnung	the opening
insgesamt	overall
Teilen	divide
Initiale	initial
furchtbar	terrible
ablehnen	oppose
zeitgenössisch	contemporary
die Route	the route
mehrere	multiple
wesentlich	essential
Frage	question
die Liga	the league
Verbrecher	criminal
Vorsichtig	careful
der Kern	the core
eilen	rush
Notwendig	necessarily
speziell	specifically
müde	tired
der Aufgang	the rise
die Krawatte	the tie
beschäftigen	employ
der Urlaub	the holiday
tanzen	dance
die Auflösung	the resolution
der Haushalt	the household
die Abtreibung	the abortion
ein Teil	apart
der Zeuge	the witness
Spiel	match
kaum	barely
der Sektor	the sector
der Abgeordnete	the representative
Mangel	lack
neben	beside
das Schwarze	the black
der Vorfall	the incident
begrenzt	limited
stolz	proud
die Strömung	the flow
die Fakultät	the faculty
erhöht	increased
der Müll	the waste
die Masse	the mass
betonen	emphasize
das Experiment	the experiment
bestimmt	definitely
die Bombe	the bomb
enorm	enormous
der Ton	the tone
Liberale	liberal
massiv	massive
der Ingenieur	the engineer
das Rad	the wheel
das Weibchen	the female
Ablehnen	decline
investieren	invest
das Versprechen	the promise
das Kabel	the cable
gegenüber	towards
entlarven	expose
ländlich	rural
die AIDS	the AIDS
der Jude	the Jew
eng	narrow
die Creme	the cream
die Sekretärin	the secretary
das Tor	the gate
solide	solid
der Hügel	the hill
typisch	typically
der Lärm	the noise
das Gras	the grass
Unglücklicherweise	unfortunately
der Hut	the hat
die Gesetzgebung	the legislation
gelingen	succeed
feiern	celebrate
die Leistung	the achievement
das fischen	the fishing
das Getränk	the drink
beschuldigen	accuse
Hand	hand
sinnvoll	useful
Land	land
Geheimnis	secret
das Talent	the talent
der Geschmack	the taste
das Merkmal	the characteristic
die Milch	the milk
Flucht	escape
Besetzung	cast
der Satz	the sentence
ungewöhnlich	unusual
eng	closely
überzeugen	convince
die Höhe	the height
der Physiker	the physician
beurteilen	assess
der Schlaf	the sleep
reichlich	plenty
die Fahrt	the ride
virtuell	virtually
Zusatz	addition
Scharf	sharp
kreativ	creative
niedriger	lower
genehmigen	approve
die Erklärung	the explanation
Fröhlich	gay
der Campus	the campus
richtig	proper
schuldig	guilty
erwerben	acquire
konkurrieren	compete
technisch	technical
Plus	plus
Verstand	mind
das Potenzial	the potential
der Immigrant	the immigrant
schwach	weak
illegal	illegal
Hallo	hi
die Alternative	the alternative
die Interaktion	the interaction
die Kolumne	the column
die Persönlichkeit	the personality
das Signal	the signal
der Lebenslauf	the curriculum
Liste	list
die Ehre	the honor
der Passagier	the passenger
die Unterstützung	the assistance
für immer	forever
Spaß	fun
betrachten	regard
israelisch	Israeli
der Verein	the association
zwanzig	twenty
klopfen	knock
Rezension	review
wickeln	wrap
das Labor	the lab
das Angebot	the offer
Anzeige	display
die Kritik	the criticism
das Kapital	the asset
die Depression	the depression
geistig	spiritual
Musical	musical
der Journalist	the journalist
das Gebet	the prayer
vermuten	suspect
der Gelehrte	the scholar
die Warnung	the warning
das Klima	the climate
der Käse	the cheese
die Beobachtung	the observation
die Kindheit	the childhood
die Bezahlung	the payment
der sir	the sir
erlauben	permit
die Zigarette	the cigarette
die Definition	the definition
die Priorität	the priority
das Brot	the bread
die Kreation	the creation
der Absolvent	the graduate
die Anfrage	the request
das Gefühl	the emotion
Schrei	scream
dramatisch	dramatic
das Universum	the universe
die Lücke	the gap
Ausgezeichnet	excellent
der Staatsanwalt	the prosecutor
die Note	the mark
das Grün	the green
Glücklich	lucky
ziehen	drag
die Fluggesellschaft	the airline
die Bibliothek	the library
die Tagesordnung	the agenda
genesen	recover
die Fabrik	the factory
die Auswahl	the selection
in erster Linie	primarily
das Dach	the roof
unfähig	unable
die Kosten	the expense
die Initiative	the initiative
die Diät	the diet
Festnahme	arrest
die finanzierung	the funding
die Therapie	the therapy
waschen	wash
der Stundenplan	the schedule
traurig	sad
kurz	brief
das Gehäuse	the housing
die Post	the post
Kauf	purchase
bestehende	existing
die Dunkelheit	the dark
der Stahl	the steel
bezüglich	regarding
schreien	shout
verbleibend	remaining
visuell	visual
ziemlich	fairly
der Chip	the chip
heftig	violent
Leise	silent
annehmen	suppose
das Ich	the self
das Fahrrad	the bike
der Tee	the tea
wahrnehmen	perceive
der Vergleich	the comparison
die Siedlung	the settlement
die Schicht	the layer
die Planung	the planning
die Beschreibung	the description
rutschen	slide
die Hochzeit	the wedding
informieren	inform
die Portion	the portion
das Territorium	the territory
sofortig	immediate
der Gegner	the opponent
der Link	the link
Masse	mass
der See	the lake
verwandeln	transform
die Spannung	the tension
der Bildschirm	the display
führend	leading
Mühe	bother
bestehen	consist
der Alkohol	the alcohol
aktivieren	enable
Biege	bend
der Gewinn	the gain
die Wüste	the desert
soll	shall
der Fehler	the error
die Freisetzung	the release
der Polizist	the cop
Araber	Arab
doppelt	double
das Wandern	the walk
der Sand	the sand
Spanisch	Spanish
Regel	rule
der Schlag	the hit
der Druck	the print
der Durchgang	the passage
formal	formal
der Übergang	the transition
die Existenz	the existence
das Album	the album
die Teilnahme	the participation
ordnen	arrange
Atmosphäre	the atmosphere
Joint	joint
Antworten	reply
der Kreislauf	the cycle
Gegenteil	opposite
sperren	lock
das Ganze	the whole
verdienen	deserve
konsistent	consistent
der Widerstand	the resistance
die Entdeckung	the discovery
reißen	tear
die Belichtung	the exposure
Pose	pose
der Strom	the stream
der Verkauf	the sale
das Vertrauen	the trust
Vorteil	benefit
der Topf	the pot
großartig	grand
Bergwerk	mine
die Koalition	the coalition
das Märchen	the tale
das Messer	the knife
Entschlossenheit	resolve
rassisch	racial
die Phase	the phase
das Geschenk	the present
der Witz	the joke
der Mantel	the coat
Mexikaner	Mexican
das Symptom	the symptom
Kontakt	contact
der Hersteller	the manufacturer
die Philosophie	the philosophy
die Kartoffel	the potato
Interview	interview
die Grundlage	the foundation
Zitat	quote
online	online
der Pass	the pass
die Verhandlung	the negotiation
Drang	urge
der Anlass	the occasion
der Staub	the dust
atmen	breathe
die Ermittler	the investigator
die Jacke	the jacket
froh	glad
gewöhnliche	ordinary
die Reduzierung	the reduction
selten	rarely
die Verschiebung	the shift
Pack	pack
der Selbstmord	the suicide
zahlreich	numerous
die Berührung	the touch
die Substanz	the substance
die Disziplin	the discipline
anderswo	elsewhere
das Bügeleisen	the iron
praktisch	practical
Außerdem	moreover
die Leidenschaft	the passion
die Freiwillige	the volunteer
implementieren	implement
im Wesentlichen	essentially
die Durchsetzung	the enforcement
vs	vs
die Soße	the sauce
die Unabhängigkeit	the independence
das Marketing	the marketing
der Priester	the priest
tolle	amazing
heftig	intense
der Fortschritt	the advance
der Arbeitgeber	the employer
der Schock	the shock
inspirieren	inspire
einstellen	adjust
in den Ruhestand gehen	retire
sichtbar	visible
Kuss	kiss
die Krankheit	the illness
die Kappe	the cap
die Angewohnheit	the habit
wettbewerbsfähig	competitive
der Saft	the juice
Kongress	congressional
die Beteiligung	the involvement
dominieren	dominate
vorher	previously
wann auch immer	whenever
Transfer	transfer
analysieren	analyze
anfügen	attach
der Inder	the Indian
das Unglück	the disaster
der Parkplatz	the parking
das Prospekt	the prospect
der Chef	the boss
die Beschwerde	the complaint
die Meisterschaft	the championship
Trainer	coach
Übung	exercise
fundamental	fundamental
verbessern	enhance
das Mysterium	the mystery
auferlegen	impose
die Armut	the poverty
der Eintritt	the entry
Fett	fat
die Ausgaben	the spending
der König	the king
bewerten	evaluate
das Symbol	the symbol
Handel	trade
der Macher	the maker
die Stimmung	the mood
erreichen	accomplish
der Schwerpunkt	the emphasis
veranschaulichen	illustrate
das Boot	the boot
Monitor	monitor
asiatisch	Asian
die Unterhaltung	the entertainment
die Bohne	the bean
die Bewertung	the evaluation
die Kreatur	the creature
der Kommandant	the commander
Digital	digital
die Anordnung	the arrangement
konzentrieren	concentrate
die Gesamt	the total
gewöhnlich	usual
die Wut	the anger
psychologisch	psychological
der Spitzer	the peak
ca	approximately
steigend	increasing
die Störung	the disorder
die Rakete	the missile
gleichermaßen	equally
variieren	vary
das Kabel	the wire
die Runde	the round
der Vertrieb	the distribution
der Transport	the transportation
heilig	holy
Ring	ring
der Zwilling	the twin
der Befehl	the command
die Kommission	the commission
die Interpretation	the interpretation
das Frühstück	the breakfast
der Halt	the stop
stark	strongly
das Ingenieurwesen	the engineering
das Glück	the luck
sogenannt	so-called
Konstante	constant
Rennen	race
die Klinik	the clinic
der Veteran	the veteran
Geruch	smell
die Esslöffel	the tablespoon
fähig	capable
nervös	nervous
der Tourist	the tourist
werfen	toss
entscheidend	crucial
begraben	bury
beten	pray
die Tomate	the tomato
die Ausnahme	the exception
die Butter	the butter
das Defizit	the deficit
das Bad	the bathroom
Block	block
elektronisch	electronic
der Verbündete	the ally
der Ruf	the reputation
die Mischung	the mixture
sicherlich	surely
der Turm	the tower
der Rauch	the smoke
konfrontieren	confront
rein	pure
Blick	glance
die Dimension	the dimension
das Spielzeug	the toy
der Häftling	the prisoner
Gefährte	fellow
glatt	smooth
in der Nähe	nearby
der Peer	the peer
der Designer	the designer
das Personal	the personnel
gestalten	shape
der Erzieher	the educator
die relativen	the relative
die Einwanderung	the immigration
der Gürtel	the belt
der Teelöffel	the teaspoon
der Geburtstag	the birthday
die Implikation	the implication
perfekt	perfectly
die Küste	the coast
der Unterstützer	the supporter
begleiten	accompany
das Silber	the silver
der Teenager	the teenager
die Erkennung	the recognition
das Renten	the retirement
die Flagge	the flag
die Wiederherstellung	the recovery
flüstern	whisper
die Uhr	the watch
der Gentleman	the gentleman
der Mais	the corn
der Mond	the moon
innere	inner
Junior	junior
die Kehle	the throat
das Gehalt	the salary
Swing	swing
der Beobachter	the observer
die Veröffentlichung	the publication
die Ernte	the crop
graben	dig
der Streik	the strike
permanent	permanent
Pflanze	plant
das Phänomen	the phenomenon
die Angst	the anxiety
nicht wie	unlike
nass	wet
buchstäblich	literally
widerstehen	resist
das Treffen	the convention
Umarmung	embrace
liefern	supply
helfen	assist
die Ausstellung	the exhibition
bauen	construct
der Beobachter	the viewer
die Pfanne	the pan
der Berater	the consultant
Linie	line
der Administrator	the administrator
Datum	date
gelegentlich	occasionally
der Bürgermeister	the mayor
die Gegenleistung	the consideration
der Geschäftsführer	the CEO
sichern	secure
Rosa	pink
Rauch	smoke
die Schätzung	the estimate
der Bock	the buck
historisch	historic
das Gedicht	the poem
die Großmutter	the grandmother
binden	bind
fünfte	fifth
ständig	constantly
das Unternehmen	the enterprise
Gefallen	favor
die Prüfung	the testing
der Magen	the stomach
ersichtlich	apparent
wiegen	weigh
Installieren	install
empfindlich	sensitive
der Vorschlag	the suggestion
die Post	the mail
das Rezept	the recipe
angemessen	reasonable
die Vorbereitung	the preparation
hölzern	wooden
elementar	elementary
das Konzert	the concert
aggressiv	aggressive
FALSCH	FALSE
die Absicht	the intention
der Kanal	the channel
extrem	extreme
das Rohr	the tube
die Zeichnung	the drawing
das Protein	the protein
die Abwesenheit	the absence
die Rolle	the roll
Latein	Latin
das Gefängnis	the jail
Kommentar	comment
die Vielfalt	the diversity
ehrlich	honest
palästinensisch	Palestinian
die Geschwindigkeit	the pace
die Anstellung	the employment
der Lautsprecher	the speaker
der Eindruck	the impression
der Aufsatz	the essay
der Antwortende	the respondent
Riese	giant
der Kuchen	the cake
der Historiker	the historian
verhandeln	negotiate
wiederherstellen	restore
wesentlich	substantial
Pop	pop
der Spezialist	the specialist
der Ursprung	the origin
die Freigabe	the approval
die Mine	the mine
ruhig	quietly
beraten	advise
konventionell	conventional
der Fall	the drop
die Zählung	the count
die Tiefe	the depth
der Reichtum	the wealth
die Behinderung	the disability
die Muschel	the shell
kritisieren	criticize
der Profi	the professional
effektiv	effectively
biologisch	biological
die Packung	the pack
die Zwiebel	the onion
der Stellvertreter	the deputy
eben	flat
die Marke	the brand
versichern	assure
wütend	mad
die Auszeichnung	the award
das Kriterium	the criteria
der Händler	the dealer
Alternative	alternative
das Dienstprogramm	the utility
genau	precisely
entstehen	arise
bewaffnet	armed
Dennoch	nevertheless
die Autobahn	the highway
klinisch	clinical
die Routine	the routine
Zeitplan	schedule
der Lohn	the wage
normalerweise	normally
die Zutat	the ingredient
die Beteiligung	the stake
Muslim	Muslim
Traum	dream
die Faser	the fiber
der Aktivist	the activist
islamisch	Islamic
Druckknopf	snap
der Terrorismus	the terrorism
der Flüchtling	the refugee
Übernehmen	incorporate
die Hüfte	the hip
Schalter	switch
wertvoll	valuable
die Annahme	the assumption
die Ausrüstung	the gear
Absolvent	graduate
die Barriere	the barrier
geringer	minor
die Provision	the provision
der Mörder	the killer
zuordnen	assign
die Gruppe	the gang
Entwicklung	developing
klassisch	classic
die Chemikalie	the chemical
Welle	wave
das Etikett	the label
der Teenager	the teen
der Index	the index
der Urlaub	the vacation
der Anwalt	the advocate
der Entwurf	the draft
außergewöhnlich	extraordinary
der Himmel	the heaven
Rau	rough
schwanger	pregnant
entfernt	distant
das Drama	the drama
der Satellit	the satellite
persönlich	personally
das Wunder	the wonder
die Uhr	the clock
die Schokolade	the chocolate
Italienisch	Italian
kanadisch	Canadian
die Decke	the ceiling
fegen	sweep
die Werbung	the advertising
Universal	universal
Dreh	spin
Haus	house
die Taste	the button
die Glocke	the bell
der Rang	the rank
die Dunkelheit	the darkness
die Bekleidung	the clothing
Super	super
Ausbeute	yield
der Zaun	the fence
das Porträt	the portrait
die Farbe	the paint
das Überleben	the survival
grob	roughly
die Klage	the lawsuit
Unterseite	bottom
das Zeugnis	the testimony
das Bündel	the bunch
der Beat	the beat
Wind	wind
gefunden	found
die Last	the burden
reagieren	react
die Kammer	the chamber
die Möbel	the furniture
die Kooperation	the cooperation
die Saite	the string
die Zeremonie	the ceremony
kommunizieren	communicate
Geschmack	taste
die Wange	the cheek
hat verloren	lost
das Profil	the profile
der Mechanismus	the mechanism
nicht zustimmen	disagree
die Strafe	the penalty
das Match	the match
vorrücken	advance
das Resort	the resort
die Zerstörung	the destruction
der Bär	the bear
unwahrscheinlich	unlikely
das Gewebe	the tissue
Verfassungs	constitutional
der Fremde	the stranger
die Infektion	the infection
das Kabinett	the cabinet
gebrochen	broken
der Apfel	the apple
elektrisch	electric
Vorgehen	proceed
Spur	track
Wette	bet
literarisch	literary
der Virus	the virus
blöd	stupid
der Streit	the dispute
das Glück	the fortune
strategisch	strategic
der Assistent	the assistant
überwinden	overcome
bemerkenswert	remarkable
besetzen	occupy
die Statistiken	the statistics
das Einkaufen	the shopping
der Cousin	the cousin
Begegnung	encounter
wischen	wipe
anfänglich	initially
blind	blind
das weiß	the white
der Hafen	the port
Ehre	honor
der Strom	the electricity
genetisch	genetic
der Berater	the adviser
die Bezahlung	the pay
der Sprecher	the spokesman
behalten	retain
letztere	latter
der Anreiz	the incentive
der Sklave	the slave
chemisch	chemical
Übersetzen	translate
wohingegen	whereas
der Terror	the terror
die Erweiterung	the expansion
die Elite	the elite
olympisch	Olympic
der Dreck	the dirt
ungerade	odd
der Reis	the rice
die Kugel	the bullet
fest	tight
die Bibel	the Bible
die Grafik	the chart
Solar	solar
der Rückgang	the decline
die konservative	the conservative
verarbeiten	process
Platz	square
der Stock	the stick
die Konzentration	the concentration
kompliziert	complicated
sanft	gently
der Meister	the champion
das Szenario	the scenario
das Teleskop	the telescope
die Reflektion	the reflection
die Revolution	the revolution
der Streifen	the strip
interpretieren	interpret
freundlich	friendly
der Wettbewerb	the tournament
die Fiktion	the fiction
entdecken	detect
Balance	balance
die Lebensdauer	the lifetime
die Empfehlung	the recommendation
fließen	flow
der Senator	the senator
Markt	market
die Jagd	the hunting
der Salat	the salad
Garantie	guarantee
unschuldig	innocent
die Grenze	the boundary
Pause	pause
entfernt	remote
die Zufriedenheit	the satisfaction
das Tagebuch	the journal
die Bank	the bench
der Liebhaber	the lover
roh	raw
das Bewusstsein	the awareness
überraschend	surprising
abheben	withdraw
die allgemeine	the general
das Deck	the deck
ähnlich	similarly
neu	newly
der Pol	the pole
bezeugen	testify
der Modus	the mode
der Dialog	the dialogue
implizieren	imply
natürlich	naturally
gegenseitig	mutual
der Gründer	the founder
fortgeschritten	advanced
der Stolz	the pride
entlassen	dismiss
das Flugzeug	the aircraft
die Lieferung	the delivery
hauptsächlich	mainly
backen	bake
einfrieren	freeze
die Platform	the platform
die Finanzen	the finance
sinken	sink
attraktiv	attractive
Respekt	respect
vielfältig	diverse
relevant	relevant
Ideal	ideal
die Freude	the joy
der wert	the worth
regelmäßig	regularly
Arbeiten	working
der Sänger	the singer
entwickeln	evolve
das Shooting	the shooting
teilweise	partly
unbekannte	unknown
Assistent	assistant
die Offensive	the offense
der Zähler	the counter
die DNA	the DNA
der Geruch	the smell
möglicherweise	potentially
die Übertragung	the transfer
dreißig	thirty
rechtfertigen	justify
der Protest	the protest
der Absturz	the crash
das Handwerk	the craft
der Vertrag	the treaty
der Terrorist	the terrorist
die Einsicht	the insight
politisch	politically
Zapfhahn	tap
die Lüge	the lie
umfangreich	extensive
die Folge	the episode
schwimmen	swim
Reifen	tire
lose	loose
ursprünglich	originally
beträchtlich	considerable
intellektuelle	intellectual
die Mischung	the mix
der Angriff	the assault
Entspannen Sie Sich	relax
die Treppen	the stair
das Abenteuer	the adventure
extern	external
der Beweis	the proof
zuversichtlich	confident
das Hauptquartier	the headquarters
plötzlich	sudden
dreckig	dirty
die Verletzung	the violation
die Zunge	the tongue
die Lizenz	the license
der Halt	the hold
die Zuflucht	the shelter
reiben	rub
die Kontroverse	the controversy
der Eingang	the entrance
der Favorit	the favorite
trainieren	practice
verblassen	fade
Defensive	defensive
die Tragödie	the tragedy
das Netz	the net
charakterisieren	characterize
die Beerdigung	the funeral
der Beruf	the profession
ändern	alter
Stelle	spot
bilden	constitute
die Einrichtung	the establishment
drücken	squeeze
die Vorstellung	the imagination
Ziel	target
die Maske	the mask
Konvertieren	convert
umfassend	comprehensive
prominent	prominent
die Präsentation	the presentation
ungeachtet	regardless
Belastung	load
stabil	stable
die Einleitung	the introduction
Beschwerde	appeal
so tun als ob	pretend
Alten	elderly
die Repräsentation	the representation
das Reh	the deer
Teilt	split
verletzen	violate
die Partnerschaft	the partnership
die Verschmutzung	the pollution
die Emissions	the emission
stetig	steady
vital	vital
das Schicksal	the fate
der Ofen	the oven
die Unterscheidung	the distinction
das Segment	the segment
nirgends	nowhere
der Poet	the poet
bloß	mere
aufregend	exciting
die Variation	the variation
der Komfort	the comfort
Radikale	radical
Stress	stress
anpassen	adapt
irisch	Irish
der Honig	the honey
der Korrespondent	the correspondent
blass	pale
der Musiker	the musician
die Signifikanz	the significance
die Ladung	the load
runden	round
das Schiff	the vessel
der Speicher	the storage
fliehen	flee
das Leder	the leather
verteilen	distribute
die Evolution	the evolution
krank	ill
der Stamm	the tribe
das Regal	the shelf
die Dose	the can
der Großvater	the grandfather
der Rasen	the lawn
der Käufer	the buyer
die Speise	the dining
die Weisheit	the wisdom
der Rat	the council
verletzlich	vulnerable
die Instanz	the instance
der Knoblauch	the garlic
die Fähigkeit	the capability
die Poesie	the poetry
der Prominente	the celebrity
allmählich	gradually
die Stabilität	the stability
Zweifel	doubt
die Fantasie	the fantasy
erschrocken	scared
führen	guide
die Handlung	the plot
der Rahmen	the framework
die Geste	the gesture
abhängig	depending
laufend	ongoing
die Psychologie	the psychology
der Ratgeber	the counselor
Zeuge	witness
das Kapitel	the chapter
der Gefährte	the fellow
die Scheidung	the divorce
verdanken	owe
das Rohr	the pipe
sportlich	athletic
die Mathematik	the math
die Schattierung	the shade
der Schweif	the tail
montieren	mount
die Verpflichtung	the obligation
der Winkel	the angle
die Palme	the palm
abweichen	differ
der Brauch	the custom
Geschäft	store
der Ökonom	the economist
fünfzehn	fifteen
die Suppe	the soup
die Feier	the celebration
effizient	efficient
Beschädigung	damage
die Zusammensetzung	the composition
erfüllen	satisfy
der Stapel	the pile
der Kohlenstoff	the carbon
näher	closer
verbrauchen	consume
die Regelung	the scheme
der Riss	the crack
die Frequenz	the frequency
der Tabak	the tobacco
der Überlebende	the survivor
Außerdem	besides
der Psychologe	the psychologist
reich	wealthy
die Galaxie	the galaxy
gegeben	given
Fonds	fund
der Ski	the ski
die Begrenzung	the limitation
Spur	trace
der Termin	the appointment
die Präferenz	the preference
der Meter	the meter
die Explosion	the explosion
die Festnahme	the arrest
öffentlich	publicly
unglaublich	incredible
der Kämpfer	the fighter
der Eintritt	the admission
der Jäger	the hunter
erziehen	educate
schmerzlich	painful
die Freundschaft	the friendship
der Adjutant	the aide
Berechnung	calculate
fünfzig	fifty
loswerden	rid
die Veranda	the porch
die Tendenz	the tendency
die Uniform	the uniform
die Formation	the formation
das Stipendium	the scholarship
die Reservierung	the reservation
die Effizienz	the efficiency
Abfall	waste
qualifizieren	qualify
das Einkaufszentrum	the mall
ableiten	derive
der Skandal	the scandal
der PC	the PC
hilfreich	helpful
beeindrucken	impress
die Ferse	the heel
ähneln	resemble
die Privatsphäre	the privacy
das Gewebe	the fabric
Überraschung	surprise
der Anteil	the proportion
die Leitlinie	the guideline
das Gewehr	the rifle
die Wartung	the maintenance
der Trick	the trick
organisch	organic
das Zelt	the tent
die Untersuchung	the examination
der Herausgeber	the publisher
stärken	strengthen
die Franzosen	the French
vorgeschlagen	proposed
der Mythos	the myth
anspruchsvoll	sophisticated
die Kuh	the cow
etc	etc
der Stand	the standing
schlafend	asleep
das Tennis	the tennis
der Nerv	the nerve
das Fass	the barrel
das Bombardement	the bombing
die Mitgliedschaft	the membership
das Verhältnis	the ratio
das Menü	the menu
der Kauf	the purchase
umstritten	controversial
verzweifelt	desperate
Bewertung	rate
der Lifestyle	the lifestyle
der Humor	the humor
laut	loud
der Handschuh	the glove
der Verdächtige	the suspect
ausreichend	sufficient
die Erzählung	the narrative
der Fotograf	the photographer
der Hubschrauber	the helicopter
die katholische	the Catholic
bescheiden	modest
der Provider	the provider
die Verzögerung	the delay
landwirtschaftlich	agricultural
explodieren	explode
der Hub	the stroke
der Anwendungsbereich	the scope
die Bestrafung	the punishment
die Handvoll	the handful
schlecht	badly
der Horizont	the horizon
neugierig	curious
Innenstadt	downtown
die Freundin	the girlfriend
prompt	prompt
anfordern	request
das Cholesterin	the cholesterol
absorbieren	absorb
die Angleichung	the adjustment
die Steuerzahler	the taxpayer
eifrig	eager
der Rektor	the principal
ausführlich	detailed
die Motivation	the motivation
die Zuordnung	the assignment
die Beschränkung	the restriction
die palästinensische	the Palestinian
das Labor	the laboratory
der Workshop	the workshop
anders	differently
das Auto	the auto
romantisch	romantic
die Baumwolle	the cotton
der Motor	the motor
verklagen	sue
der Geschmack	the flavor
übersehen	overlook
schweben	float
erfahren	undergo
die Sequenz	the sequence
die Demonstration	the demonstration
der Jet	the jet
Orange	orange
der Verbrauch	the consumption
behaupten	assert
die Klinge	the blade
vorübergehend	temporary
das Medikament	the medication
drucken	print
die Kajüte	the cabin
beißen	bite
relativ	relative
die Ausgabe	the edition
das Tal	the valley
deine	yours
die Tonhöhe	the pitch
der Kiefer	the pine
brillant	brilliant
gegen	versus
die Herstellungs	the manufacturing
Risiko	risk
der Christian	the Christian
der Komplex	the complex
absolut	absolute
der Küchenchef	the chef
die Diskriminierung	the discrimination
beleidigend	offensive
das deutsch	the German
passen	suit
der Boom	the boom
registrieren	register
ernennen	appoint
das Erbe	the heritage
der Gott	the God
Terrorist	terrorist
Dominant	dominant
erfolgreich	successfully
die Scheiße	the shit
die Zitrone	the lemon
hungrig	hungry
Sinn	sense
wandern	wander
einreichen	submit
die Wirtschaft	the economics
nackt	naked
erwarten	anticipate
die Nuss	the nut
das Vermächtnis	the legacy
die Erweiterung	the extension
zucken	shrug
die Fliege	the fly
die Batterie	the battery
die Ankunft	the arrival
legitim	legitimate
die Ausrichtung	the orientation
die Inflation	the inflation
zurechtkommen	cope
die Flamme	the flame
der Cluster	the cluster
Gastgeber	host
die Wunde	the wound
abhängig	dependent
die Dusche	the shower
institutionell	institutional
darstellen	depict
das Betriebs	the operating
das Fleisch	the flesh
die Garage	the garage
der Betreiber	the operator
der Lehrer	the instructor
Zusammenbruch	collapse
leihen	borrow
die Komödie	the comedy
die Hypothek	the mortgage
Zivilist	civilian
zwölf	twelve
wöchentlich	weekly
das Habitat	the habitat
das Getreide	the grain
Bürste	brush
das Bewußtsein	the consciousness
widmen	devote
Riss	crack
die Messung	the measurement
die Provinz	the province
Leichtigkeit	ease
ergreifen	seize
die Ethik	the ethics
die Nominierung	the nomination
die Erlaubnis	the permission
weise	wise
die Schauspielerin	the actress
der Gipfel	the summit
die Säure	the acid
die Chancen	the odds
